,symbol,position,order,close
2024-05-10 06:06:00+02:00,ETH-USD,0.0,0.0,3029.949951171875
2024-05-10 06:07:00+02:00,ETH-USD,0.0,0.0,3029.61181640625
2024-05-10 06:08:00+02:00,ETH-USD,0.0,0.0,3029.134521484375
2024-05-10 06:09:00+02:00,ETH-USD,0.0,0.0,3026.09228515625
2024-05-10 06:10:00+02:00,ETH-USD,0.0,0.0,3026.21875
2024-05-10 06:11:00+02:00,ETH-USD,0.0,0.0,3026.126708984375
2024-05-10 06:12:00+02:00,ETH-USD,0.0,0.0,3026.072998046875
2024-05-10 06:13:00+02:00,ETH-USD,0.0,0.0,3026.787353515625
2024-05-10 06:14:00+02:00,ETH-USD,0.0,0.0,3027.042724609375
2024-05-10 06:15:00+02:00,ETH-USD,0.0,0.0,3027.709716796875
2024-05-10 06:16:00+02:00,ETH-USD,0.0,0.0,3026.975830078125
2024-05-10 06:17:00+02:00,ETH-USD,0.0,0.0,3026.78369140625
2024-05-10 06:18:00+02:00,ETH-USD,0.0,0.0,3027.0927734375
2024-05-10 06:20:00+02:00,ETH-USD,0.0,0.0,3029.1376953125
2024-05-10 06:21:00+02:00,ETH-USD,0.0,0.0,3030.082275390625
2024-05-10 06:23:00+02:00,ETH-USD,0.0,0.0,3030.52099609375
2024-05-10 06:24:00+02:00,ETH-USD,0.0,0.0,3030.12255859375
2024-05-10 06:25:00+02:00,ETH-USD,0.0,0.0,3030.800537109375
2024-05-10 06:26:00+02:00,ETH-USD,0.0,0.0,3032.314697265625
2024-05-10 06:27:00+02:00,ETH-USD,0.0,0.0,3033.274169921875
2024-05-10 06:28:00+02:00,ETH-USD,0.0,0.0,3033.0810546875
2024-05-10 06:29:00+02:00,ETH-USD,0.0,0.0,3032.742919921875
2024-05-10 06:30:00+02:00,ETH-USD,0.0,0.0,3033.65380859375
2024-05-10 06:31:00+02:00,ETH-USD,0.0,0.0,3031.723388671875
2024-05-10 06:32:00+02:00,ETH-USD,0.0,0.0,3031.245361328125
2024-05-10 06:33:00+02:00,ETH-USD,0.0,0.0,3030.548583984375
2024-05-10 06:34:00+02:00,ETH-USD,0.0,0.0,3030.798583984375
